Ever_Married,Age,Profession,Work_Experience,Family_Size,Var_1,Segmentation,Gender_Male,Graduated_Yes,Spending_Score_High,Spending_Score_Low
No,40,Artist,6,1,Cat_6,B,0,1,0,1
Yes,88,Lawyer,0,3,Cat_6,C,1,1,1,0
No,30,Healthcare,8,5,Cat_6,D,1,1,0,1
No,32,Entertainment,1,1,Cat_6,A,1,1,0,1
Yes,43,Marketing,1,2,Cat_7,D,1,0,0,1
Yes,55,Engineer,3,2,Cat_6,B,0,0,0,0
Yes,47,Artist,0,3,Cat_6,C,0,1,0,0
Yes,73,Engineer,1,NA,NA,A,0,0,0,1
No,39,Artist,NA,1,Cat_6,C,1,1,0,1
No,22,Healthcare,0,4,Cat_6,D,1,0,0,1
Yes,39,NA,0,5,Cat_4,A,1,1,0,0
No,31,Healthcare,0,7,Cat_6,B,0,0,0,1
No,27,Healthcare,NA,3,Cat_2,D,1,1,0,1
No,19,Healthcare,0,4,Cat_6,D,1,0,0,1
Yes,69,Doctor,0,2,Cat_6,C,1,0,0,0
Yes,37,Doctor,NA,2,Cat_6,B,1,0,0,0
Yes,45,Executive,0,2,Cat_6,C,1,1,1,0
No,22,Doctor,1,3,Cat_3,A,0,0,0,1
No,26,Doctor,0,3,Cat_6,B,0,1,0,1
No,39,Artist,1,3,Cat_7,A,1,1,0,1
Yes,61,Entertainment,1,2,Cat_5,A,1,1,0,1
Yes,74,Lawyer,1,2,Cat_6,C,0,0,1,0
No,29,Artist,4,1,Cat_3,D,1,1,0,1
No,29,Homemaker,5,1,Cat_6,D,1,1,0,1
No,36,Executive,0,3,Cat_6,D,1,0,0,1
No,63,Doctor,0,2,Cat_6,B,0,1,0,1
Yes,69,Artist,0,5,Cat_3,C,1,1,0,0
NA,35,Artist,12,2,Cat_6,B,0,1,0,1
Yes,81,Lawyer,1,1,Cat_6,A,1,1,0,1
Yes,71,Lawyer,1,2,Cat_6,B,0,0,1,0
No,31,Healthcare,10,2,Cat_3,C,0,0,0,1
Yes,41,Entertainment,9,4,NA,A,1,1,0,0
Yes,35,Homemaker,1,3,Cat_6,B,1,0,0,0
No,52,Artist,6,1,Cat_6,A,0,1,0,1
No,19,Healthcare,NA,4,Cat_3,D,1,0,0,1
NA,39,Artist,0,1,Cat_7,B,0,1,0,1
Yes,45,Artist,0,2,Cat_4,B,1,0,0,1
No,19,Marketing,1,4,Cat_6,D,0,0,0,1
No,23,Healthcare,2,5,Cat_6,D,1,0,0,1
Yes,77,Lawyer,0,2,Cat_6,D,1,0,0,1
Yes,84,Lawyer,0,1,Cat_6,B,0,1,0,1
Yes,47,Entertainment,1,4,Cat_4,D,1,0,1,0
No,29,Entertainment,6,3,Cat_6,A,1,1,0,1
No,35,Artist,8,3,Cat_2,A,0,1,0,1
Yes,40,Artist,14,2,Cat_6,C,1,1,0,1
No,35,Healthcare,1,1,Cat_6,D,1,0,0,1
No,20,Healthcare,0,3,Cat_2,D,1,0,0,1
No,43,Entertainment,0,2,Cat_2,A,1,1,0,1
Yes,56,Executive,0,1,Cat_6,D,1,0,0,1
Yes,53,Artist,3,1,Cat_7,A,0,1,0,1
Yes,22,Executive,1,3,Cat_6,D,1,0,1,0
Yes,32,Healthcare,1,4,Cat_4,D,1,0,1,0
Yes,51,Executive,2,5,Cat_6,A,1,0,1,0
No,41,Marketing,1,NA,Cat_3,D,0,0,0,1
Yes,37,Doctor,2,4,Cat_6,A,1,0,0,0
Yes,55,Artist,4,4,Cat_6,A,1,1,0,0
No,42,Entertainment,3,2,Cat_6,A,1,1,0,1
No,20,Healthcare,1,5,Cat_4,D,1,0,0,1
No,42,Artist,12,2,Cat_4,A,0,1,0,1
Yes,38,Engineer,1,5,Cat_6,B,0,0,1,0
No,52,Engineer,3,1,Cat_6,A,0,1,0,1
Yes,48,Marketing,9,1,Cat_6,D,0,1,0,1
Yes,37,Entertainment,5,2,Cat_6,C,1,1,0,0
No,27,Doctor,1,3,Cat_6,B,1,0,0,1
Yes,48,Artist,3,4,Cat_6,B,1,0,0,0
No,25,Marketing,5,2,Cat_4,D,0,1,0,1
No,56,Doctor,3,1,Cat_6,A,0,1,0,1
Yes,68,Lawyer,1,1,Cat_6,D,0,0,0,1
No,21,Healthcare,0,4,Cat_6,D,1,0,0,1
NA,72,Lawyer,8,2,Cat_6,D,0,0,0,0
No,43,Artist,1,2,Cat_2,B,1,1,0,1
Yes,52,Lawyer,8,2,Cat_6,C,1,1,1,0
Yes,50,Executive,0,5,Cat_6,B,1,0,0,0
No,41,Entertainment,0,1,Cat_4,D,1,1,0,1
Yes,40,Entertainment,8,2,Cat_6,B,1,1,0,0
No,32,Healthcare,8,2,Cat_4,D,1,1,0,1
Yes,57,Homemaker,5,2,Cat_6,A,1,1,1,0
No,25,Artist,13,2,Cat_6,C,0,1,0,1
Yes,74,Lawyer,0,2,Cat_6,A,1,0,1,0
No,38,Entertainment,NA,4,Cat_6,D,1,1,0,1
Yes,46,Artist,0,2,Cat_6,C,0,1,0,0
No,50,Artist,1,1,Cat_6,D,0,1,0,1
Yes,50,Artist,0,2,Cat_3,B,1,1,0,0
Yes,69,Lawyer,0,2,Cat_6,C,0,1,1,0
No,29,Artist,0,1,Cat_6,A,1,1,0,1
Yes,84,Lawyer,NA,3,Cat_6,B,1,1,1,0
Yes,73,Executive,1,NA,Cat_6,C,1,0,0,1
Yes,38,Executive,9,5,Cat_6,B,1,0,1,0
Yes,82,Lawyer,0,1,Cat_6,A,0,0,0,1
Yes,71,Lawyer,0,NA,Cat_6,A,1,0,1,0
Yes,50,Engineer,0,3,Cat_7,B,0,0,0,1
Yes,56,Artist,0,2,Cat_6,B,1,1,1,0
No,19,Healthcare,4,3,Cat_2,D,1,0,0,1
Yes,29,Executive,12,3,Cat_6,B,1,0,0,1
No,26,Doctor,1,3,Cat_6,D,1,1,0,1
No,31,Doctor,1,5,Cat_3,C,0,0,0,1
Yes,42,Artist,0,2,Cat_6,A,1,1,0,0
No,33,Doctor,1,1,Cat_6,B,0,1,0,1
Yes,35,Healthcare,1,5,Cat_6,D,1,0,0,1
Yes,46,Engineer,0,3,Cat_4,A,0,0,1,0
No,67,Artist,0,2,Cat_6,B,0,1,0,1
No,35,Artist,7,2,Cat_6,D,0,0,0,1
No,28,Doctor,8,3,Cat_6,A,1,0,0,1
No,43,Doctor,8,1,Cat_4,D,0,0,0,1
Yes,40,Artist,3,NA,Cat_6,A,0,0,0,0
Yes,73,Artist,0,3,Cat_1,C,0,1,0,0
No,21,Healthcare,8,4,Cat_6,D,0,0,0,1
No,32,Doctor,1,3,Cat_4,D,0,0,0,1
No,36,NA,NA,NA,Cat_4,D,0,0,0,1
No,32,Artist,13,3,Cat_6,A,1,1,0,1
No,25,Homemaker,14,3,Cat_5,A,1,0,0,1
No,40,Artist,5,1,Cat_6,A,0,1,0,1
No,19,Healthcare,0,3,Cat_6,D,0,0,0,1
Yes,48,Executive,5,5,Cat_6,B,1,1,1,0
No,36,Artist,3,3,Cat_6,C,0,1,0,1
No,27,Healthcare,1,3,Cat_6,D,1,0,0,1
Yes,82,Entertainment,0,2,Cat_6,B,0,0,1,0
No,23,Healthcare,9,4,Cat_6,D,1,0,0,1
No,30,Entertainment,14,3,Cat_6,D,1,1,0,1
No,30,Entertainment,8,4,Cat_6,A,1,1,0,1
No,30,Healthcare,1,3,Cat_6,D,1,1,0,1
No,28,Entertainment,1,5,Cat_6,C,1,1,0,1
Yes,60,Artist,0,2,Cat_4,A,1,1,0,1
Yes,52,Artist,1,2,Cat_6,C,0,1,0,0
No,19,Healthcare,NA,NA,Cat_3,D,0,0,0,1
No,19,Healthcare,0,2,Cat_6,D,0,0,0,1
Yes,40,Executive,1,5,Cat_5,D,1,0,0,1
No,38,Entertainment,8,1,Cat_6,D,1,1,0,1
Yes,71,Entertainment,1,2,Cat_6,B,0,1,0,0
No,40,Engineer,1,3,Cat_3,B,0,1,0,1
Yes,68,Artist,0,2,Cat_6,B,1,1,1,0
Yes,50,Entertainment,NA,4,Cat_6,A,1,1,0,1
No,21,Healthcare,0,4,Cat_6,D,1,0,0,1
No,29,Healthcare,NA,3,Cat_6,B,1,1,0,1
NA,29,Entertainment,0,1,Cat_1,A,0,1,1,0
Yes,39,Engineer,1,4,Cat_4,B,0,0,0,0
Yes,41,Executive,0,4,Cat_6,B,1,1,0,1
No,28,Doctor,NA,1,Cat_6,D,1,0,0,1
No,22,Healthcare,0,3,Cat_2,D,0,0,0,1
No,35,Artist,NA,1,Cat_6,A,1,1,0,1
Yes,49,Artist,3,2,Cat_6,B,0,1,0,1
Yes,26,Healthcare,8,2,Cat_3,D,0,1,0,1
No,33,Healthcare,NA,1,Cat_4,C,0,0,0,1
No,27,Engineer,0,2,Cat_3,D,0,0,0,1
No,50,Entertainment,8,2,Cat_6,A,0,0,0,1
Yes,37,Homemaker,5,2,Cat_4,D,0,1,0,1
No,43,Marketing,0,2,Cat_6,A,1,1,0,1
No,35,Entertainment,13,1,Cat_6,D,1,1,0,1
Yes,50,Artist,1,1,Cat_6,C,0,1,0,1
No,31,Artist,7,1,Cat_4,A,1,1,0,1
Yes,29,Engineer,NA,2,Cat_6,D,0,0,1,0
No,20,Healthcare,0,2,Cat_6,D,0,0,0,1
Yes,66,Entertainment,1,2,Cat_6,C,1,1,0,0
Yes,37,Healthcare,1,2,Cat_4,A,1,1,0,0
Yes,52,Artist,2,2,Cat_6,C,1,1,0,0
Yes,45,Executive,7,5,Cat_6,C,1,1,1,0
No,27,Healthcare,2,6,Cat_6,D,0,1,0,1
Yes,46,Artist,1,4,Cat_6,C,0,1,1,0
Yes,43,Doctor,9,1,Cat_2,A,0,0,0,1
No,32,Doctor,8,6,Cat_6,C,0,0,0,1
Yes,87,Lawyer,9,4,Cat_6,C,1,1,0,1
Yes,40,Engineer,NA,5,Cat_3,B,0,1,0,0
No,59,Artist,1,2,Cat_6,B,1,1,0,1
Yes,63,Artist,1,3,Cat_6,C,1,1,0,0
No,23,NA,0,8,Cat_4,D,1,0,0,1
Yes,65,Lawyer,NA,2,Cat_6,A,0,0,1,0
No,47,Artist,0,1,Cat_6,B,1,1,0,1
Yes,45,Artist,9,2,Cat_6,C,0,1,0,1
Yes,79,Lawyer,0,1,Cat_6,D,1,0,0,1
Yes,65,Entertainment,1,2,Cat_6,B,1,0,1,0
No,38,Healthcare,0,2,Cat_6,B,0,1,0,1
Yes,28,Healthcare,NA,2,Cat_6,D,0,1,0,1
No,20,Healthcare,2,3,Cat_4,D,1,0,0,1
Yes,36,Artist,1,2,Cat_6,C,0,1,0,1
No,22,Healthcare,0,4,Cat_6,D,1,0,0,1
Yes,56,Healthcare,0,4,Cat_7,B,1,0,1,0
No,32,Doctor,5,3,Cat_4,A,0,1,0,1
No,33,Healthcare,1,1,Cat_6,D,0,1,0,1
Yes,68,Artist,1,2,Cat_6,C,0,1,1,0
Yes,53,Artist,NA,3,Cat_6,C,1,1,0,0
Yes,38,Artist,7,3,Cat_1,B,0,1,0,0
No,22,Healthcare,NA,5,Cat_2,D,1,0,0,1
Yes,49,Artist,0,4,Cat_6,C,0,1,1,0
Yes,43,Artist,NA,2,Cat_6,B,1,1,0,1
No,33,Doctor,0,1,Cat_3,D,0,0,0,1
Yes,57,Artist,1,2,Cat_6,C,0,1,1,0
Yes,65,Lawyer,2,6,Cat_1,D,0,1,0,1
NA,50,Artist,NA,1,NA,B,0,1,1,0
Yes,36,Entertainment,0,2,Cat_6,C,1,1,0,0
Yes,43,Engineer,4,7,Cat_4,A,0,0,0,0
No,18,Entertainment,1,5,Cat_2,C,0,0,0,1
Yes,43,Engineer,1,2,Cat_6,B,0,0,0,0
Yes,75,Lawyer,0,1,Cat_6,A,1,1,0,1
Yes,27,Marketing,NA,4,Cat_6,D,0,0,1,0
Yes,39,Healthcare,11,2,Cat_6,B,1,1,0,0
Yes,61,Artist,2,2,Cat_6,B,1,1,0,1
Yes,73,Lawyer,NA,5,Cat_1,D,0,1,0,1
No,26,Engineer,0,5,Cat_4,C,1,1,0,1
Yes,52,Artist,7,4,Cat_6,B,1,1,0,0
Yes,50,Artist,1,1,Cat_6,B,1,1,0,1
No,51,Artist,1,1,Cat_4,B,0,1,0,1
Yes,50,Artist,1,3,Cat_6,C,1,0,0,0
Yes,53,Executive,9,5,Cat_4,B,1,1,1,0
Yes,40,Executive,5,4,Cat_6,D,1,0,0,1
Yes,86,Lawyer,NA,1,Cat_6,D,0,0,0,1
No,26,Healthcare,0,3,Cat_5,B,0,0,0,1
No,32,Entertainment,9,4,Cat_6,A,1,0,0,1
No,22,Healthcare,5,3,Cat_2,D,0,0,0,1
Yes,36,Artist,1,4,Cat_6,B,0,1,0,0
NA,62,Artist,4,3,Cat_6,B,0,1,0,0
Yes,69,Doctor,0,1,Cat_3,A,0,0,0,1
No,39,Entertainment,1,2,Cat_4,A,0,1,0,1
Yes,81,Doctor,0,2,Cat_6,A,0,0,1,0
No,28,Healthcare,9,2,Cat_6,D,0,0,0,1
No,28,Healthcare,6,5,Cat_2,D,1,1,0,1
No,52,Entertainment,1,5,Cat_4,B,1,1,0,1
Yes,40,Artist,4,5,Cat_6,B,0,1,0,0
No,68,Lawyer,0,NA,Cat_6,B,1,1,0,1
Yes,37,Artist,0,2,Cat_4,D,0,0,0,0
No,26,Marketing,1,5,Cat_6,D,1,0,0,1
No,31,Homemaker,8,1,Cat_6,A,0,0,0,1
Yes,68,Lawyer,0,2,Cat_6,C,0,1,0,1
Yes,42,Artist,1,3,Cat_6,C,1,1,0,0
Yes,56,Artist,1,6,Cat_5,C,0,1,0,0
Yes,37,Entertainment,1,2,Cat_6,A,1,0,0,1
Yes,58,Artist,1,1,Cat_6,D,1,1,0,1
No,33,Artist,7,1,Cat_6,A,1,1,0,1
No,31,Homemaker,8,1,Cat_4,D,0,0,0,1
No,27,Healthcare,0,3,Cat_2,B,0,1,0,1
No,25,Healthcare,7,4,Cat_4,D,1,0,0,1
Yes,51,Entertainment,1,2,Cat_6,B,1,1,0,0
Yes,37,Engineer,8,3,Cat_4,D,1,0,0,0
Yes,69,Executive,1,4,Cat_6,B,1,1,0,0
Yes,45,Doctor,1,1,Cat_6,A,0,0,0,1
Yes,38,Artist,0,2,Cat_6,C,1,1,0,1
Yes,51,Artist,NA,4,Cat_2,C,1,1,0,0
No,19,Healthcare,0,4,Cat_6,D,0,0,0,1
No,32,Healthcare,6,3,Cat_6,D,0,1,0,1
No,31,Artist,1,5,Cat_6,C,1,1,0,1
No,19,Healthcare,13,3,Cat_3,D,1,0,0,1
Yes,41,Entertainment,0,3,Cat_4,C,1,1,0,0
No,39,Entertainment,NA,6,Cat_3,D,0,0,0,1
No,21,Healthcare,1,4,Cat_3,D,1,0,0,1
No,30,Healthcare,0,NA,Cat_6,D,0,0,0,1
No,23,Healthcare,0,6,Cat_3,D,1,0,0,1
Yes,65,Entertainment,0,2,Cat_6,C,1,0,0,0
No,31,Executive,4,5,Cat_1,D,1,0,0,1
Yes,74,Lawyer,NA,NA,Cat_6,D,0,1,0,1
Yes,73,Artist,1,2,Cat_6,C,0,0,1,0
Yes,42,Doctor,9,2,Cat_6,C,1,1,0,1
No,47,Artist,0,1,Cat_3,B,1,1,0,1
No,19,Healthcare,0,5,Cat_2,D,0,0,0,1
Yes,45,Executive,3,9,Cat_4,D,1,0,0,1
No,25,Marketing,NA,7,Cat_2,B,0,0,0,1
No,28,Entertainment,0,3,Cat_6,D,0,1,0,1
Yes,40,Artist,NA,2,Cat_4,C,0,1,0,0
NA,40,Engineer,1,4,Cat_3,A,0,0,0,1
No,30,Doctor,8,NA,Cat_4,D,0,1,0,1
Yes,50,Engineer,1,4,Cat_4,B,0,1,0,0
No,26,Healthcare,8,2,Cat_6,C,1,1,0,1
Yes,82,Lawyer,0,1,Cat_6,B,1,1,0,1
Yes,33,Healthcare,0,2,Cat_7,A,1,1,0,1
No,50,Marketing,1,2,Cat_7,C,1,0,0,1
Yes,83,Lawyer,0,1,Cat_6,D,1,0,0,1
No,37,Artist,9,1,Cat_6,B,0,1,0,1
Yes,37,Artist,6,2,Cat_3,A,1,1,0,0
Yes,55,Lawyer,1,3,Cat_6,C,1,0,1,0
Yes,61,Artist,0,2,Cat_3,C,1,1,0,1
Yes,39,Artist,3,1,Cat_6,B,0,1,0,1
Yes,40,Artist,0,2,Cat_6,C,1,1,0,1
Yes,55,Artist,2,1,Cat_6,B,1,1,0,1
Yes,50,Healthcare,1,1,Cat_6,D,1,1,0,0
No,26,Doctor,13,3,Cat_6,D,1,1,0,1
No,53,Artist,1,1,Cat_6,C,0,1,0,1
No,28,Healthcare,NA,5,Cat_6,B,0,1,0,1
No,32,Artist,7,3,Cat_6,A,0,1,0,1
No,31,Marketing,0,1,Cat_6,D,0,1,0,1
No,30,Healthcare,0,4,Cat_6,B,1,0,0,1
No,31,Doctor,0,4,Cat_3,A,0,1,0,1
Yes,47,Artist,4,1,Cat_3,A,1,1,0,1
Yes,49,Artist,3,2,Cat_6,C,1,1,0,0
Yes,37,Executive,1,3,Cat_6,B,1,1,1,0
Yes,47,Artist,13,4,Cat_6,C,1,1,0,0
Yes,52,Executive,0,2,Cat_6,C,1,1,1,0
No,20,Entertainment,NA,7,Cat_3,C,0,0,0,1
Yes,79,Lawyer,0,2,Cat_6,B,1,0,1,0
Yes,47,Executive,1,6,Cat_6,C,1,0,1,0
No,20,Healthcare,1,4,Cat_6,D,0,NA,0,1
No,23,Healthcare,1,4,Cat_6,D,1,0,0,1
No,29,Engineer,9,4,Cat_4,A,0,0,0,1
No,33,Engineer,10,1,Cat_6,A,0,1,0,1
No,21,Healthcare,0,4,Cat_3,D,1,0,0,1
No,18,Healthcare,8,4,Cat_6,D,1,0,0,1
Yes,70,Lawyer,0,2,Cat_6,C,1,1,1,0
Yes,56,Artist,0,2,Cat_6,C,0,1,0,0
Yes,42,Artist,2,2,Cat_6,B,1,1,0,0
No,28,Healthcare,1,2,Cat_6,B,0,0,0,1
Yes,41,Executive,NA,4,Cat_4,B,1,1,1,0
Yes,81,Lawyer,9,1,Cat_6,D,1,1,0,1
No,30,Artist,9,2,Cat_6,A,1,1,0,1
Yes,53,Lawyer,0,2,Cat_6,D,1,0,0,1
No,26,Executive,9,4,Cat_6,D,1,1,0,1
Yes,51,Artist,1,3,Cat_6,C,1,1,0,1
No,19,Artist,9,7,Cat_7,B,1,0,0,1
Yes,75,Lawyer,0,2,Cat_6,B,1,1,1,0
Yes,51,Engineer,0,1,Cat_6,A,0,1,0,1
Yes,70,Homemaker,3,2,Cat_6,B,0,1,0,1
No,38,Doctor,0,1,Cat_6,A,0,1,0,1
No,21,Healthcare,0,4,Cat_4,D,0,0,0,1
Yes,80,Lawyer,0,1,Cat_4,B,1,0,0,1
Yes,19,Artist,NA,2,Cat_4,D,0,0,1,0
No,33,Entertainment,1,1,Cat_6,D,1,0,0,1
Yes,48,Entertainment,1,6,Cat_6,C,1,1,0,0
No,33,Healthcare,8,3,NA,D,0,0,0,1
No,33,Engineer,0,3,Cat_1,D,0,1,0,1
No,31,Healthcare,1,4,Cat_6,C,0,0,0,1
Yes,48,Artist,1,2,Cat_6,C,0,1,0,0
Yes,49,Engineer,1,8,Cat_4,D,1,0,0,0
Yes,38,Artist,1,1,Cat_6,B,0,0,0,1
No,39,Artist,0,1,Cat_3,A,0,1,0,1
Yes,46,Entertainment,2,2,Cat_6,B,0,1,0,0
Yes,41,Artist,8,2,Cat_6,C,1,1,0,0
Yes,31,Artist,0,3,Cat_4,A,0,0,1,0
Yes,37,Entertainment,8,2,Cat_6,C,1,1,0,0
Yes,58,Engineer,1,1,Cat_6,B,0,0,0,1
Yes,49,Engineer,1,2,Cat_6,A,0,1,0,0
Yes,47,Marketing,2,1,Cat_6,D,0,0,0,1
No,30,Healthcare,1,4,Cat_6,D,1,1,0,1
No,41,Entertainment,6,1,Cat_6,A,1,NA,0,1
Yes,33,Doctor,0,2,Cat_6,A,0,1,0,1
No,33,Healthcare,0,4,Cat_2,B,1,0,0,1
No,27,Healthcare,NA,1,Cat_6,D,1,1,0,1
Yes,45,Doctor,8,2,Cat_3,A,1,0,0,1
Yes,45,Homemaker,1,1,Cat_3,B,0,1,0,1
No,35,Marketing,NA,NA,Cat_3,D,0,0,0,1
No,21,Entertainment,1,4,Cat_6,D,0,0,0,1
No,36,Artist,9,2,Cat_6,A,0,1,0,1
Yes,56,NA,0,1,Cat_4,D,0,0,0,1
No,28,Artist,0,5,Cat_2,C,0,0,0,1
Yes,89,Lawyer,0,2,Cat_6,A,0,0,1,0
Yes,48,Executive,1,4,Cat_6,C,1,1,1,0
Yes,47,Entertainment,0,5,Cat_6,C,1,0,1,0
No,23,Healthcare,NA,3,Cat_6,D,1,0,0,1
No,18,Healthcare,3,4,Cat_6,D,0,0,0,1
Yes,58,Lawyer,2,2,Cat_6,C,1,1,1,0
Yes,42,Entertainment,9,3,Cat_6,A,1,0,0,0
No,22,Healthcare,0,3,Cat_6,D,1,0,0,1
Yes,50,Artist,2,1,Cat_6,B,0,1,0,1
Yes,40,Entertainment,NA,2,Cat_6,B,0,1,0,1
Yes,73,Executive,0,2,Cat_6,D,1,0,1,0
No,27,Artist,NA,NA,Cat_3,D,0,0,0,1
Yes,40,Artist,1,3,Cat_6,B,1,1,0,0
Yes,81,Lawyer,1,NA,Cat_3,B,0,0,0,1
NA,37,Artist,1,3,Cat_3,A,1,1,0,0
Yes,39,Doctor,0,2,Cat_6,B,0,0,0,1
Yes,83,Lawyer,0,3,Cat_3,D,1,0,1,0
Yes,55,Artist,0,1,Cat_6,B,1,1,0,1
Yes,51,Doctor,NA,3,Cat_6,A,1,1,0,1
Yes,42,Engineer,5,4,Cat_4,A,1,0,0,0
Yes,27,Artist,1,4,Cat_6,C,1,1,0,1
Yes,53,Executive,1,2,Cat_6,C,1,1,1,0
Yes,40,Engineer,1,7,Cat_6,A,0,1,0,0
Yes,62,Artist,0,9,Cat_3,C,1,1,0,0
No,21,Healthcare,NA,5,Cat_2,D,1,0,0,1
Yes,40,Entertainment,1,2,NA,A,1,1,0,0
No,27,Healthcare,1,3,Cat_3,A,1,0,0,1
Yes,84,Lawyer,0,2,Cat_6,B,0,0,1,0
No,26,Doctor,4,NA,Cat_6,D,1,0,0,1
No,26,Artist,11,4,Cat_6,C,1,0,0,1
No,33,Entertainment,1,1,Cat_6,A,1,1,0,1
No,27,Artist,0,1,Cat_6,D,1,1,0,1
Yes,46,Entertainment,9,5,Cat_4,D,0,0,0,0
No,28,Doctor,NA,5,Cat_2,A,0,0,0,1
No,25,Healthcare,1,3,Cat_6,A,0,0,0,1
Yes,47,Marketing,NA,3,Cat_6,A,0,1,0,0
No,32,Artist,3,4,Cat_6,C,0,0,0,1
No,21,Healthcare,6,4,Cat_4,D,0,0,0,1
Yes,73,Lawyer,1,4,Cat_6,C,1,1,1,0
Yes,35,Artist,0,2,Cat_6,B,1,1,0,0
No,52,Artist,1,1,Cat_6,B,1,1,0,1
Yes,40,Artist,1,2,Cat_6,B,1,1,0,1
No,31,Healthcare,NA,1,Cat_6,D,1,1,0,1
Yes,88,Lawyer,1,2,Cat_6,A,0,1,1,0
No,39,NA,NA,1,Cat_6,A,0,0,0,1
No,41,Artist,1,2,Cat_6,C,0,1,0,1
Yes,73,Artist,NA,2,Cat_6,C,0,1,0,0
Yes,45,Artist,7,5,Cat_6,B,1,1,0,0
Yes,41,Entertainment,0,4,Cat_6,A,1,0,0,1
Yes,75,Lawyer,0,2,Cat_6,C,1,1,1,0
No,39,Entertainment,9,2,Cat_6,A,1,1,0,1
Yes,89,Lawyer,0,2,Cat_6,A,0,0,1,0
Yes,45,Doctor,0,1,Cat_6,A,1,1,0,1
Yes,50,Artist,1,2,Cat_6,C,0,1,0,0
Yes,43,Healthcare,6,2,Cat_7,B,1,0,1,0
Yes,50,Executive,4,4,Cat_2,B,1,1,0,0
No,53,Entertainment,0,NA,Cat_6,D,0,0,0,1
NA,37,Engineer,2,3,Cat_4,D,0,0,0,0
No,40,Artist,8,2,Cat_6,C,1,NA,0,1
Yes,76,Lawyer,1,1,Cat_3,D,1,1,0,1
Yes,27,Homemaker,NA,2,Cat_6,A,0,1,0,0
Yes,41,Artist,1,2,Cat_6,A,1,1,0,1
Yes,50,Entertainment,3,2,Cat_6,A,1,1,0,1
Yes,56,Executive,8,5,Cat_6,C,1,1,1,0
Yes,28,Entertainment,0,2,Cat_4,A,1,0,0,0
No,46,Marketing,0,NA,Cat_6,D,0,1,0,1
Yes,72,Doctor,1,2,Cat_6,A,0,1,0,0
Yes,41,Doctor,NA,1,Cat_7,A,0,0,0,1
No,28,Artist,0,2,Cat_6,A,1,0,0,1
Yes,27,Artist,8,2,Cat_6,C,0,1,0,0
No,32,Healthcare,2,4,Cat_4,D,0,0,0,1
No,20,Doctor,9,4,Cat_6,A,0,0,0,1
Yes,45,Executive,1,5,Cat_6,B,1,1,0,1
No,59,Artist,1,2,Cat_6,C,1,1,0,1
No,46,Marketing,1,1,Cat_6,D,0,1,0,1
Yes,46,Artist,1,3,Cat_6,C,1,1,0,0
No,41,Artist,9,2,Cat_6,A,1,1,0,1
Yes,70,Lawyer,1,2,Cat_6,B,1,1,1,0
NA,25,Homemaker,NA,1,Cat_6,D,0,1,0,1
Yes,42,Artist,9,3,Cat_6,B,1,1,0,0
Yes,60,Engineer,1,9,Cat_4,A,0,0,1,0
No,37,Engineer,9,1,Cat_6,D,1,1,0,1
No,18,Healthcare,0,7,Cat_3,D,1,0,0,1
Yes,52,Artist,1,3,Cat_6,C,1,1,0,0
No,32,Artist,2,4,Cat_2,A,0,0,0,1
Yes,74,Lawyer,8,1,Cat_6,A,1,0,0,1
Yes,29,Healthcare,1,2,Cat_6,A,1,1,0,0
Yes,37,Entertainment,0,3,Cat_6,C,1,1,0,0
Yes,45,Entertainment,1,3,Cat_6,B,1,0,0,0
No,22,Healthcare,1,4,Cat_6,D,1,0,0,1
Yes,60,Engineer,0,NA,Cat_3,B,0,1,0,1
Yes,51,Artist,8,2,Cat_6,B,0,1,0,0
Yes,59,Artist,0,2,Cat_6,C,1,1,0,0
Yes,55,Artist,1,2,Cat_7,A,1,1,0,0
No,22,Healthcare,2,3,Cat_4,D,1,0,0,1
No,18,Artist,NA,4,Cat_4,D,1,0,0,1
Yes,84,Lawyer,0,2,Cat_6,B,0,0,1,0
No,35,Artist,NA,1,Cat_6,A,1,1,0,1
Yes,50,Entertainment,0,3,Cat_6,C,1,1,0,0
Yes,73,Artist,5,3,Cat_6,C,1,1,1,0
No,23,Engineer,1,4,Cat_6,B,0,0,0,1
No,30,Entertainment,NA,5,Cat_3,D,1,1,0,1
No,21,Healthcare,0,5,Cat_2,D,0,1,0,1
No,18,Healthcare,1,4,Cat_6,D,1,0,0,1
Yes,46,Artist,0,3,Cat_6,B,1,1,0,0
No,32,Entertainment,9,2,Cat_6,D,1,1,0,1
No,36,Healthcare,6,3,Cat_2,D,0,1,0,1
Yes,37,Doctor,9,2,Cat_6,D,1,0,0,1
No,42,Entertainment,1,1,Cat_7,A,1,1,0,1
Yes,35,Doctor,1,NA,Cat_4,D,1,1,0,1
Yes,42,Healthcare,9,2,Cat_6,D,0,1,0,0
No,33,Homemaker,9,1,Cat_6,D,0,0,0,1
Yes,35,Engineer,1,2,NA,D,0,0,1,0
Yes,59,Artist,0,5,Cat_6,C,0,1,0,0
Yes,70,Artist,1,1,Cat_6,B,1,1,0,1
Yes,53,Entertainment,1,1,Cat_6,A,1,0,0,1
Yes,80,Lawyer,1,2,Cat_6,D,0,0,1,0
Yes,56,Executive,NA,3,Cat_6,B,1,0,1,0
Yes,39,Artist,0,2,Cat_2,C,1,1,0,0
Yes,73,Artist,NA,3,Cat_3,C,0,1,0,0
